"","level","No","Yes","p","test","Missing"
"n","","75","21","","",""
"psa (median [IQR])","","9.78 [4.86, 16.61]","35.52 [21.33, 62.18]","<0.001","nonnorm","0.0"
"lpsa (median [IQR])","","2.28 [1.58, 2.81]","3.57 [3.06, 4.13]","<0.001","nonnorm","0.0"
"cavol (median [IQR])","","3.19 [1.53, 5.51]","14.30 [7.39, 18.36]","<0.001","nonnorm","0.0"
"wt (median [IQR])","","34.47 [27.12, 47.47]","43.38 [35.87, 49.40]","0.079","nonnorm","0.0"
"age (median [IQR])","","64.00 [60.00, 68.00]","68.00 [62.00, 69.00]","0.206","nonnorm","0.0"
"bph (median [IQR])","","1.55 [0.00, 5.05]","0.59 [0.00, 3.86]","0.416","nonnorm","0.0"
"cappen (median [IQR])","","0.00 [0.00, 0.75]","6.75 [3.25, 11.25]","<0.001","nonnorm","0.0"
"gleason (%)","6","31 (41.3)","1 (4.8)","<0.001","","0.0"
"","7","34 (45.3)","9 (42.9)","","",""
"","8","10 (13.3)","11 (52.4)","","",""
