"**Characteristic**","**N = 97**"
"psa",NA
"Mean (SD)","24 (41)"
"Median (Q1, Q3)","13 (6, 21)"
"Min-Max","1-265"
"lpsa",NA
"Mean (SD)","2.48 (1.15)"
"Median (Q1, Q3)","2.59 (1.73, 3.06)"
"Min-Max","-0.43-5.58"
"cavol",NA
"Mean (SD)","7 (8)"
"Median (Q1, Q3)","4 (2, 8)"
"Min-Max","0-46"
"wt",NA
"Mean (SD)","45 (46)"
"Median (Q1, Q3)","37 (29, 48)"
"Min-Max","11-450"
"age",NA
"Mean (SD)","64 (7)"
"Median (Q1, Q3)","65 (60, 68)"
"Min-Max","41-79"
"bph",NA
"Mean (SD)","2.53 (3.03)"
"Median (Q1, Q3)","1.35 (0.00, 4.76)"
"Min-Max","0.00-10.28"
"cappen",NA
"Mean (SD)","2.2 (3.8)"
"Median (Q1, Q3)","0.4 (0.0, 3.3)"
"Min-Max","0.0-18.2"
"svi",NA
"0","76 (78%)"
"1","21 (22%)"
"gleason",NA
"6","33 (34%)"
"7","43 (44%)"
"8","21 (22%)"
